home_team,away_team,home_team_code,away_team_code,year,date,date_time,group_name,round,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_city,stadium_name,stadium_name_official,stadium_name_event,stadium_percentage_filled
Sweden,Bulgaria,SWE,BUL,2004,2004-06-14,2004-06-14T18:45:00Z,Group C,GROUP_STANDINGS,31652.0,83168,POR,50061.0,38.76184,-9.164213,Lisbon,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade,63.22686322686323
Denmark,Italy,DEN,ITA,2004,2004-06-14,2004-06-14T16:00:00Z,Group C,GROUP_STANDINGS,19595.0,53487,POR,29098.0,41.4458917,-8.3012,Guimaraes,Estádio D. Afonso Henriques,Estádio D. Afonso Henriques,Estádio D. Afonso Henriques,67.34139803422916
France,England,FRA,ENG,2004,2004-06-13,2004-06-13T18:45:00Z,Group B,GROUP_STANDINGS,62487.0,85265,POR,64274.0,38.751488,-9.188022,Lisbon,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica,97.21971559261911
Switzerland,Croatia,SUI,CRO,2004,2004-06-13,2004-06-13T16:00:00Z,Group B,GROUP_STANDINGS,24090.0,63257,POR,22857.0,39.7487917,-8.81305,Leiria,Estádio Dr. Magalhães Pessoa,Estádio Dr. Magalhães Pessoa,Estádio Dr. Magalhães Pessoa,105.39440871505448
Spain,Russia,ESP,RUS,2004,2004-06-12,2004-06-12T18:45:00Z,Group A,GROUP_STANDINGS,28182.0,83174,POR,21329.0,37.0882972,-7.9747528,Faro-Loulé,Estádio Algarve,Estádio Algarve,Estádio Algarve,132.12996389891697
Portugal,Greece,POR,GRE,2004,2004-06-12,2004-06-12T16:00:00Z,Group A,GROUP_STANDINGS,48761.0,85429,POR,50033.0,41.1617944,-8.5836861,Porto,Estádio do Dragão,Estádio do Dragão,Estádio do Dragão,97.45767793256451
West Germany,USSR,FRG,URS,1972,1972-06-18,1972-06-18T15:00:00Z,,FINAL,43066.0,62073,BEL,48693.0,50.8957583,4.3339472,Brussels,King Baudouin Stadium,King Baudouin Stadium,King Baudouin Stadium,88.44392417801326
Hungary,Belgium,HUN,BEL,1972,1972-06-17,1972-06-17T19:00:00Z,,THIRD_PLAY_OFF,6184.0,62076,BEL,27221.0,50.6099583,5.5432667,Liege,Stade Maurice Dufrasne,Stade Maurice Dufrasne,Stade Maurice Dufrasne,22.71775467469968
Belgium,West Germany,BEL,FRG,1972,1972-06-14,1972-06-14T19:00:00Z,,SEMIFINAL,55601.0,62074,BEL,14385.0,51.2324861,4.4718861,Deurne,Bosuil,Bosuil,Bosuil,386.5206812652068
Hungary,USSR,HUN,URS,1972,1972-06-14,1972-06-14T19:00:00Z,,SEMIFINAL,1659.0,63395,BEL,20144.0,50.8342306,4.298375,Brussels,RSC Anderlecht Stadium,RSC Anderlecht Stadium,Anderlecht Stadium,8.23570293884035
Spain,USSR,ESP,URS,1964,1964-06-21,1964-06-21T17:30:00Z,,FINAL,79115.0,62401,ESP,76806.0,40.4530778,-3.6885194,Madrid,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,103.00627555138921
Hungary,Denmark,HUN,DEN,1964,1964-06-20,1964-06-20T19:00:00Z,,THIRD_PLAY_OFF,3869.0,57776,ESP,94408.0,41.3808417,2.1227583,Barcelona,Camp Nou,Camp Nou,Camp Nou,4.098169646640115
Denmark,USSR,DEN,URS,1964,1964-06-17,1964-06-17T21:30:00Z,,SEMIFINAL,38556.0,57776,ESP,94408.0,41.3808417,2.1227583,Barcelona,Camp Nou,Camp Nou,Camp Nou,40.83975934242861
Spain,Hungary,ESP,HUN,1964,1964-06-17,1964-06-17T19:00:00Z,,SEMIFINAL,34713.0,62401,ESP,76806.0,40.4530778,-3.6885194,Madrid,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,Estadio Santiago Bernabéu,45.19568783688774
USSR,Yugoslavia,URS,YUG,1960,1960-07-10,1960-07-10T20:30:00Z,,FINAL,17966.0,57779,FRA,47926.0,48.8414333,2.2530333,Paris,Parc des Princes,Parc des Princes,Parc des Princes,37.48695906188708
Czechoslovakia,France,TCH,FRA,1960,1960-07-09,1960-07-09T20:30:00Z,,THIRD_PLAY_OFF,9438.0,62337,FRA,66534.0,43.26983,5.396,Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,14.1852286049238
Czechoslovakia,USSR,TCH,URS,1960,1960-07-06,1960-07-06T20:30:00Z,,SEMIFINAL,25184.0,62337,FRA,66534.0,43.26983,5.396,Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,37.851324135028705
France,Yugoslavia,FRA,YUG,1960,1960-07-06,1960-07-06T19:00:00Z,,SEMIFINAL,26370.0,57779,FRA,47926.0,48.8414333,2.2530333,Paris,Parc des Princes,Parc des Princes,Parc des Princes,55.022326086049326
USSR,Netherlands,URS,NED,1988,1988-06-25,1988-06-25T13:30:00Z,,FINAL,62770.0,52848,GER,60252.0,48.173125,11.5466,Munich,Olympiastadion,Olympiastadion,Olympiastadion,104.17911438624444
USSR,Italy,URS,ITA,1988,1988-06-22,1988-06-22T18:15:00Z,,SEMIFINAL,61606.0,53101,GER,54697.0,48.7922694,9.2320083,Stuttgart,Arena Stuttgart,Arena Stuttgart,Stuttgart Arena,112.63140574437355
West Germany,Netherlands,FRG,NED,1988,1988-06-21,1988-06-21T18:15:00Z,,SEMIFINAL,56115.0,85689,GER,0.0,53.5871778,9.8985944,Hamburg,Volksparkstadion,Volksparkstadion,Volksparkstadion,inf
Republic of Ireland,Netherlands,IRL,NED,1988,1988-06-18,1988-06-18T13:30:00Z,Group 2,GROUP_STANDINGS,64731.0,53099,GER,49785.0,51.5591972,7.0666278,Gelsenkirchen,Parkstadion,Parkstadion,Parkstadion,130.02109068996685
England,USSR,ENG,URS,1988,1988-06-18,1988-06-18T13:30:00Z,Group 2,GROUP_STANDINGS,48335.0,53102,GER,30059.0,50.0685722,8.645425,Frankfurt am Main,Waldstadion (old),Waldstadion (old),Waldstadion (old),160.80042582920257
West Germany,Spain,FRG,ESP,1988,1988-06-17,1988-06-17T18:15:00Z,Group 1,GROUP_STANDINGS,63802.0,52848,GER,60252.0,48.173125,11.5466,Munich,Olympiastadion,Olympiastadion,Olympiastadion,105.89192060014605
Italy,Denmark,ITA,DEN,1988,1988-06-17,1988-06-17T18:15:00Z,Group 1,GROUP_STANDINGS,53951.0,52864,GER,45134.0,50.9335056,6.8749944,Cologne,Stadion Köln,Stadion Köln,Cologne Stadium,119.53516196215712
Republic of Ireland,USSR,IRL,URS,1988,1988-06-15,1988-06-15T18:15:00Z,Group 2,GROUP_STANDINGS,38308.0,52865,GER,45000.0,52.3600667,9.7311833,Hanover,Stadion Hannover,Stadion Hannover,Stadion Hannover,85.12888888888888
England,Netherlands,ENG,NED,1988,1988-06-15,1988-06-15T15:15:00Z,Group 2,GROUP_STANDINGS,63940.0,52867,GER,43500.0,51.0947389,6.8794639,Dusseldorf,Rheinstadion,Rheinstadion,Rheinstadion,146.98850574712642
